name,tags,x,y,z,bas_demand
Junction-26769,,"355496.968106731248554","398469.550277510192245","24.943335000000001","0.000000"
Junction-456,,"354377.326107579341624","397934.797278457088396","20.811430000000001","0.000000"
Junction-36368,,"355223.973106934921816","398326.399277759657707","27.345001000000000","0.000000"
Junction-51462,,"356389.785106091760099","397839.555278527725022","93.215000000000003","0.000000"
Junction-1562,,"355848.780106462538242","398626.169277226610575","36.196666999999998","0.023231"
Junction-455376,,"356202.894937500357628","399065.488749999552965","33.433334000000002","0.038486"
Junction-2095,,"356132.631106261454988","398319.422277727921028","68.719999999999999","0.019180"
Junction-50936,,"355371.950106901000254","396729.058280437486246","24.143332999999998","0.041018"
Junction-14607,,"355011.274107146193273","397083.660279856645502","20.724997999999999","0.040195"
Junction-44556,,"355496.901106788835023","397121.165279770153575","34.119999999999997","0.114157"
Junction-475378,,"353838.009000003279652","395978.188999999314547","35.933661999999998","0.000000"
Junction-474702,,"353004.973999999463558","396550.947999998927116","18.970048999999999","0.000000"
Junction-709,,"354965.993107201589737","396683.012280526687391","28.605000000000000","0.052348"
Junction-44794,,"355843.866731477086432","398431.272402555332519","42.513331999999998","0.060514"
Junction-37294,,"356405.081356063368730","398241.437965349934530","86.700005000000004","0.000000"
Junction-1820,,"356016.510106336383615","398596.045277272583917","47.604996000000000","0.031523"
Junction-14471,,"354625.828107413137332","397629.305278952699155","21.519672000000000","0.052697"
Junction-1341,,"355656.637169123627245","398117.269778088957537","46.714995999999999","0.000000"
Junction-455818,,"355403.219045672914945","397140.557687068183441","40.822499999999998","0.012818"
Junction-1509,,"355845.591106531675905","397040.805279889318626","36.465004000000000","0.000000"
Junction-26141,,"354022.900107870227657","397314.242279507860076","13.355000499999999","0.380080"
Junction-26651,,"355410.470106800494250","398273.316277840407565","35.094999999999999","0.031080"
Junction-55575,,"354398.370045051793568","398303.153090333100408","42.846663999999997","0.000000"
Junction-864,,"355213.168107011821121","396774.955280366004445","23.685001000000000","0.127421"
